state,district,date,income_mean,income_median,poverty_absolute,poverty_relative,gini
Johor,Batu Pahat,2019-01-01,7392,6504,2.9,9.0,0.295
Johor,Batu Pahat,2022-01-01,7419,6347,5.1,19.4,0.338
Johor,Batu Pahat,2024-01-01,9006,7555,2.4,11.6,0.316
Johor,Johor Bahru,2019-01-01,9315,7342,3.3,12.8,0.388
Johor,Johor Bahru,2022-01-01,9869,8232,3.7,10.4,0.359
Johor,Johor Bahru,2024-01-01,10975,8977,1.9,9.9,0.35
Johor,Kluang,2019-01-01,5953,4933,5.0,24.9,0.333
Johor,Kluang,2022-01-01,6461,5204,7.2,27.4,0.354
Johor,Kluang,2024-01-01,6616,6158,5.7,24.8,0.292
Johor,Kota Tinggi,2019-01-01,6982,5475,6.0,20.8,0.361
Johor,Kota Tinggi,2022-01-01,7529,6227,5.0,17.0,0.343
Johor,Kota Tinggi,2024-01-01,8106,6284,4.2,22.7,0.379
Johor,Kulai,2019-01-01,8602,7536,3.2,10.1,0.324
Johor,Kulai,2022-01-01,9177,7460,0.4,7.4,0.337
Johor,Kulai,2024-01-01,10296,8406,0.1,6.3,0.319
Johor,Mersing,2019-01-01,4937,3896,12.1,41.2,0.377
Johor,Mersing,2022-01-01,5426,4445,12.7,33.1,0.339
Johor,Mersing,2024-01-01,6014,5335,6.7,25.0,0.263
Johor,Muar,2019-01-01,7540,5963,4.1,14.8,0.353
Johor,Muar,2022-01-01,7572,5724,6.1,23.5,0.394
Johor,Muar,2024-01-01,8401,7334,2.1,16.1,0.306
Johor,Pontian,2019-01-01,6776,5585,5.8,23.0,0.354
Johor,Pontian,2022-01-01,6913,5616,5.1,21.1,0.361
Johor,Pontian,2024-01-01,7011,5685,2.0,25.7,0.341
Johor,Segamat,2019-01-01,6431,5595,2.9,20.5,0.315
Johor,Segamat,2022-01-01,6578,5318,7.4,23.3,0.34
Johor,Segamat,2024-01-01,7348,6451,3.1,16.8,0.292
Johor,Tangkak,2019-01-01,6659,5561,3.7,16.7,0.322
Johor,Tangkak,2022-01-01,7093,5622,6.9,28.2,0.371
Johor,Tangkak,2024-01-01,7524,6374,4.0,19.2,0.306
Kedah,Baling,2019-01-01,4313,3583,17.9,23.9,0.339
Kedah,Baling,2022-01-01,4263,3400,14.4,19.7,0.347
Kedah,Baling,2024-01-01,4345,3367,14.7,24.0,0.324
Kedah,Bandar Baharu,2019-01-01,4959,4022,7.2,12.6,0.324
Kedah,Bandar Baharu,2022-01-01,4565,3922,3.9,14.5,0.291
Kedah,Bandar Baharu,2024-01-01,4835,4310,5.8,20.5,0.339
Kedah,Kota Setar,2019-01-01,5773,4532,6.4,8.1,0.352
Kedah,Kota Setar,2022-01-01,5959,4751,5.1,9.5,0.348
Kedah,Kota Setar,2024-01-01,6034,5208,5.5,10.4,0.328
Kedah,Kuala Muda,2019-01-01,5656,4247,10.9,13.7,0.384
Kedah,Kuala Muda,2022-01-01,5624,4200,13.8,15.7,0.404
Kedah,Kuala Muda,2024-01-01,5729,4953,11.8,16.5,0.333
Kedah,Kubang Pasu,2019-01-01,6291,4814,4.8,5.5,0.361
Kedah,Kubang Pasu,2022-01-01,6221,5201,3.3,6.1,0.325
Kedah,Kubang Pasu,2024-01-01,6313,5312,4.0,6.4,0.317
Kedah,Kulim,2019-01-01,5476,4489,9.9,10.5,0.331
Kedah,Kulim,2022-01-01,5636,4498,11.4,11.3,0.358
Kedah,Kulim,2024-01-01,6395,5236,8.5,13.3,0.349
Kedah,Langkawi,2019-01-01,6737,5905,0.9,1.3,0.276
Kedah,Langkawi,2022-01-01,6087,5250,5.7,5.5,0.302
Kedah,Langkawi,2024-01-01,6278,5083,6.0,8.3,0.335
Kedah,Padang Terap,2019-01-01,4781,3722,9.1,5.3,0.307
Kedah,Padang Terap,2022-01-01,4858,3902,8.9,11.3,0.323
Kedah,Padang Terap,2024-01-01,5062,3954,8.0,8.0,0.292
Kedah,Pendang,2019-01-01,4680,3765,8.1,9.5,0.312
Kedah,Pendang,2022-01-01,4986,3801,7.3,12.5,0.349
Kedah,Pendang,2024-01-01,5464,4592,7.3,16.3,0.347
Kedah,Pokok Sena,2019-01-01,5046,4246,7.3,8.6,0.303
Kedah,Pokok Sena,2022-01-01,5494,4668,7.2,9.2,0.31
Kedah,Pokok Sena,2024-01-01,5736,5163,7.2,6.3,0.27
Kedah,Sik,2019-01-01,4960,4094,7.6,8.9,0.32
Kedah,Sik,2022-01-01,5053,3703,4.0,9.4,0.333
Kedah,Sik,2024-01-01,5107,4438,8.7,14.3,0.325
Kedah,Yan,2019-01-01,4397,3502,12.7,24.1,0.369
Kedah,Yan,2022-01-01,4637,4080,6.0,12.4,0.291
Kedah,Yan,2024-01-01,5272,4695,7.4,13.6,0.293
Kelantan,Bachok,2019-01-01,4728,3621,13.1,10.7,0.361
Kelantan,Bachok,2022-01-01,4811,3625,12.1,10.4,0.374
Kelantan,Bachok,2024-01-01,5149,4187,11.3,12.1,0.349
Kelantan,Gua Musang,2019-01-01,4009,2942,17.2,16.3,0.367
Kelantan,Gua Musang,2022-01-01,4473,3342,18.5,12.0,0.36
Kelantan,Gua Musang,2024-01-01,4684,3871,16.3,7.5,0.302
Kelantan,Jeli,2019-01-01,3872,2943,18.5,9.6,0.328
Kelantan,Jeli,2022-01-01,3735,2906,11.3,17.9,0.35
Kelantan,Jeli,2024-01-01,3829,3008,10.1,19.3,0.315
Kelantan,Kecil Lojing,2019-01-01,3002,3138,33.3,11.1,0.233
Kelantan,Kecil Lojing,2022-01-01,3153,2630,43.8,43.8,0.365
Kelantan,Kecil Lojing,2024-01-01,3511,3385,20.0,6.7,0.218
Kelantan,Kota Bharu,2019-01-01,5577,4171,9.1,7.5,0.381
Kelantan,Kota Bharu,2022-01-01,5693,4330,10.5,7.5,0.384
Kelantan,Kota Bharu,2024-01-01,6180,4729,9.9,6.7,0.361
Kelantan,Kuala Krai,2019-01-01,3979,2896,22.4,17.3,0.382
Kelantan,Kuala Krai,2022-01-01,3798,2763,22.4,30.6,0.399
Kelantan,Kuala Krai,2024-01-01,3872,2994,20.2,22.8,0.342
Kelantan,Machang,2019-01-01,4841,3708,7.1,8.8,0.352
Kelantan,Machang,2022-01-01,4987,3429,12.0,14.6,0.414
Kelantan,Machang,2024-01-01,5237,4156,7.3,10.9,0.331
Kelantan,Pasir Mas,2019-01-01,4745,3341,13.1,9.5,0.381
Kelantan,Pasir Mas,2022-01-01,4602,3508,9.0,10.9,0.362
Kelantan,Pasir Mas,2024-01-01,4975,3591,8.6,11.4,0.365
Kelantan,Pasir Puteh,2019-01-01,4688,3458,12.7,12.1,0.386
Kelantan,Pasir Puteh,2022-01-01,4712,3453,15.9,12.3,0.378
Kelantan,Pasir Puteh,2024-01-01,5070,4853,11.1,17.6,0.302
Kelantan,Tanah Merah,2019-01-01,4338,3166,12.0,8.9,0.346
Kelantan,Tanah Merah,2022-01-01,4177,2991,17.9,14.7,0.377
Kelantan,Tanah Merah,2024-01-01,4922,3638,14.9,11.6,0.363
Kelantan,Tumpat,2019-01-01,4838,3500,12.5,8.7,0.374
Kelantan,Tumpat,2022-01-01,4741,3749,13.5,11.2,0.367
Kelantan,Tumpat,2024-01-01,4991,3904,12.7,8.0,0.334
Melaka,Alor Gajah,2019-01-01,7050,5907,3.8,18.8,0.356
Melaka,Alor Gajah,2022-01-01,7235,5611,4.8,14.1,0.343
Melaka,Alor Gajah,2024-01-01,7855,6308,4.5,11.4,0.327
Melaka,Jasin,2019-01-01,7340,5640,3.0,17.4,0.386
Melaka,Jasin,2022-01-01,7145,5895,5.5,16.0,0.332
Melaka,Jasin,2024-01-01,7755,6401,1.1,10.0,0.298
Melaka,Melaka Tengah,2019-01-01,8100,6250,4.2,16.2,0.389
Melaka,Melaka Tengah,2022-01-01,8593,6557,3.7,12.2,0.383
Melaka,Melaka Tengah,2024-01-01,9232,7415,2.8,10.0,0.373
Negeri Sembilan,Jelebu,2019-01-01,5414,3976,5.2,18.4,0.379
Negeri Sembilan,Jelebu,2022-01-01,4445,3636,7.3,29.9,0.326
Negeri Sembilan,Jelebu,2024-01-01,4664,3713,6.4,27.5,0.313
Negeri Sembilan,Jempol,2019-01-01,4926,3676,6.2,14.4,0.344
Negeri Sembilan,Jempol,2022-01-01,4848,3830,8.0,21.8,0.331
Negeri Sembilan,Jempol,2024-01-01,5777,4291,7.1,21.4,0.364
Negeri Sembilan,Kuala Pilah,2019-01-01,5040,3587,8.3,23.0,0.366
Negeri Sembilan,Kuala Pilah,2022-01-01,4509,3471,6.8,31.5,0.346
Negeri Sembilan,Kuala Pilah,2024-01-01,4888,3996,6.2,27.8,0.324
Negeri Sembilan,Port Dickson,2019-01-01,6393,4959,4.3,10.0,0.378
Negeri Sembilan,Port Dickson,2022-01-01,6054,4805,4.9,13.8,0.345
Negeri Sembilan,Port Dickson,2024-01-01,6280,5342,4.4,16.7,0.324
Negeri Sembilan,Rembau,2019-01-01,5163,4135,5.7,20.8,0.362
Negeri Sembilan,Rembau,2022-01-01,5544,4655,3.0,19.0,0.344
Negeri Sembilan,Rembau,2024-01-01,5723,4894,2.6,19.9,0.339
Negeri Sembilan,Seremban,2019-01-01,7611,5599,3.2,7.9,0.386
Negeri Sembilan,Seremban,2022-01-01,7900,6384,3.0,7.5,0.354
Negeri Sembilan,Seremban,2024-01-01,8395,6472,2.8,6.2,0.368
Negeri Sembilan,Tampin,2019-01-01,5786,4332,4.8,18.6,0.386
Negeri Sembilan,Tampin,2022-01-01,5097,4012,7.3,21.5,0.347
Negeri Sembilan,Tampin,2024-01-01,5715,4367,7.0,15.1,0.349
Pahang,Bentong,2019-01-01,5300,4220,3.3,3.9,0.284
Pahang,Bentong,2022-01-01,5563,4691,2.8,0.0,0.244
Pahang,Bentong,2024-01-01,6278,5015,2.0,0.3,0.286
Pahang,Bera,2019-01-01,4566,3636,2.9,8.5,0.29
Pahang,Bera,2022-01-01,4567,3866,8.5,10.0,0.256
